sw2_path,sw3_url,match_type,confidence,sw3_title,needs_review
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Headline-Data/turnover-by-sizeband-area-year,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Technical-2006-Data,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category,1.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Technical-2006-Data/Businesses-with-Welsh-Headquarters,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category,1.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Technical-2006-Data/Businesses-with-Welsh-Headquarters/WelshHeadquartedEnterprises-by-LocalAuthority-SizeBand,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Technical-2006-Data/Businesses-with-Welsh-Headquarters/WelshHeadquartedEnterprises-by-NUTS2-SizeBand-Industry,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Technical-2006-Data/Businesses-with-Welsh-Headquarters/WelshHeadquartedEnterprises-by-SizeBand-Variable,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Technical-2006-Data/Sites-within-Businesses,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category,1.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Technical-2006-Data/Sites-within-Businesses/Enterprises-by-AnalysisType-SizeBand,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Technical-2006-Data/Sites-within-Businesses/Enterprises-by-LocalAuthority-AnalysisType-SizeBand,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Business-Structure/Technical-2006-Data/Sites-within-Businesses/Enterprises-by-NUTS2-AnalysisType-Industry-SizeBand,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Exports,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category,1.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Exports/exports-by-destination-quarter-ukregion,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Exports/exports-by-product-quarter-ukcountry,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Exports/exports-by-ukregion-destination,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Exports/exports-by-ukregion-product,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Exports/valueofwelshexports-by-quarter-product,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Exports/welshexports-by-quarter-destination,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category_fallback,0.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Innovation,https://stats.gov.wales/en-GB/topic/1/business-economy-labour-market,category,1.0,,False
/Catalogue/Business-Economy-and-Labour-Market/Businesses/Innovation/businessesthatareinnovationactive-by-year,https://stats.gov.wales/en-GB/6d704dbd-12ab-4d8d-9f2f-0058c1c6fdf1,sequence,0.953,Businesses that are innovation active by year,False
